pair,file,source,bytes,sha256,usd_currency,initial_capital_100000,holiday_fallback_present,strategy_entries,plots,security_calls
AUDCAD,S/AUDCAD.pine,validated_AUDCAD_v6.1.6_coal_aligned,38463,98b256719c0b1135b2071e4cd689a98ccf92509c9878086a3980b8946387d048,1,1,0,2,64,21
AUDCHF,S/AUDCHF.pine,baseline_v6.1.5u1,36493,617262363268b0040dc632f52005239f892da4a9b73edac2d869a0ed3382e4d1,1,1,0,2,61,15
AUDNZD,S/AUDNZD.pine,baseline_v6.1.5u1,38043,4732dd0f8727da049c53c56b00555d942b377186375c2df40d455c635db45f20,1,1,0,2,61,23
AUDUSD,S/AUDUSD.pine,baseline_v6.1.5u1,39041,cd8f2e1a8816eb089096a3e5924b0b0be9163a0712353ac7a49305b680c2e81b,1,1,0,2,61,21
CADCHF,S/CADCHF.pine,baseline_v6.1.5u1,37221,de3cd03f5a9654c619e84ab9fe2f871a8fa667c792939ea3edb32b623c575421,1,1,0,2,61,19
CADJPY,S/CADJPY.pine,baseline_v6.1.5u1,38827,916bd2a419ec6e1c130867d16c1cdfb633ef2cb2846850e2b25569f1877414a2,1,1,0,2,61,23
CHFJPY,S/CHFJPY.pine,baseline_v6.1.5u1,38434,9e027151ab397643c794f3d03e999b10d3c91a09fdbc505626d3dcc08f96c60d,1,1,0,2,61,21
EURAUD,S/EURAUD.pine,baseline_v6.1.5u1,39561,4b83cdfcefe044fb27cd0281d75748da165b2ff89e66fef02090be0380c7d560,1,1,0,2,61,27
EURCAD,S/EURCAD.pine,baseline_v6.1.5u1,43250,222b25904eae66ac3bbacb7fdbd989673fe8ab3e3173b0b9fb2c3053ca72fd0e,1,1,0,2,61,35
EURCHF,S/EURCHF.pine,baseline_v6.1.5u1,37966,d5ca2ea1a0440feafb62773fffed6357c7c2712f9aa16ae5467183bca12ef837,1,1,0,2,61,19
EURGBP,S/EURGBP.pine,baseline_v6.1.5u1,39089,c64784d0da4edc0a2a9f474029928fff96bcdd6a8144c1161abdb8fa2ea5beba,1,1,0,2,61,25
EURJPY,S/EURJPY.pine,baseline_v6.1.5u1,42290,8ec1e75148505796bb2888b64070879b76a6055fd2dade7ffdbd87cbb8901469,1,1,0,2,61,37
EURNOK,S/EURNOK.pine,baseline_v6.1.5u1,37937,1bdad4b8d79f9155f7177a12bb2c8915c602ec3c364b0477bb8eef224285c094,1,1,0,2,61,19
EURNZD,S/EURNZD.pine,baseline_v6.1.5u1,37637,c4c361906b5510c035d2ffc828ad51582efcbaaf0516d9a9dc444efe54c448cb,1,1,0,2,61,21
EURSEK,S/EURSEK.pine,baseline_v6.1.5u1,36836,f6473e47acf7576ef308ab52ce6b3f2a27d942c620741c3e29ac59d361ef4e67,1,1,0,2,61,17
EURUSD,S/EURUSD.pine,baseline_v6.1.5u1,38328,2892b869835e3d4e44f1db3f030c0253bd95f7e82cacb592def8358b725aa7ab,1,1,0,2,61,21
GBPAUD,S/GBPAUD.pine,baseline_v6.1.5u1,39933,a63d8ed6ff63a7b2e6646bfe8c6b610f8c0c6e4c377f710d7a3d6a96ca8cd4a1,1,1,0,2,61,25
GBPCAD,S/GBPCAD.pine,baseline_v6.1.5u1,39790,017363d218003fa0317e3b4eab2f887465151c33e7e9a17c107bab333222a26e,1,1,0,2,61,21
GBPCHF,S/GBPCHF.pine,baseline_v6.1.5u1,35687,0317109d6b1e42d0a0313f78617e98b4b22b89269d25d547542554f89288fbf6,1,1,0,2,61,15
GBPJPY,S/GBPJPY.pine,baseline_v6.1.5u1,34945,d8d0b51dc28001845223229aed886947136e04159fcb78467edf56d9f667b729,1,1,0,2,61,11
GBPNZD,S/GBPNZD.pine,baseline_v6.1.5u1,38404,055a7bdc5079dc69e6495e5cf19afd219b285a73ee494bed131079f4612e3a1f,1,1,0,2,61,21
GBPUSD,S/GBPUSD.pine,baseline_v6.1.5u1,37166,bdac2e0eda0306e4000be68c20f784c5bacbe068af0a9c09fc5ffc76e24e0bc7,1,1,0,2,61,15
NZDCAD,S/NZDCAD.pine,baseline_v6.1.5u1,39150,da2fecc13042d94f3088640eaae3b4d7ae1714e4e93256427c562b6672e949fb,1,1,0,2,61,25
NZDCHF,S/NZDCHF.pine,baseline_v6.1.5u1,38369,e3233138268a3b4a1b5365bccb3ae2268d078e216c2387189aef3359b69249ff,1,1,0,2,61,21
NZDJPY,S/NZDJPY.pine,baseline_v6.1.5u1,39154,1c654a3ab0179720be8c3eaba9c7ecd01a9f81af76acd318e239759ac2ba120f,1,1,0,2,61,25
NZDUSD,S/NZDUSD.pine,baseline_v6.1.5u1,40569,bfe5aab4cc40bea63b602213666d97596f837b170eb3667966a81eb9804f7633,1,1,0,2,61,25
USDCAD,S/USDCAD.pine,baseline_v6.1.5u1,37898,743e1f564e794b96c9376fee1e7d248be80a61c2079dbd510b00e8083b32558f,1,1,0,2,61,19
USDCHF,S/USDCHF.pine,baseline_v6.1.5u1,37204,d66a65f0e8d55970821b52fa41a842c544f821f19c00a02777a2214ff121d433,1,1,0,2,61,15
USDJPY,S/USDJPY.pine,baseline_v6.1.5u1,39048,ecb88fb46d730fe581fe4053b7d5c216535b0b9ff42a4babcd3f5194ae9bf7a8,1,1,0,2,61,21
USDNOK,S/USDNOK.pine,baseline_v6.1.5u1,36049,31bda252e8031c4a4c564315610025c34fd63fc592c784c3aa15680c928bc0ba,1,1,0,2,61,13
USDSEK,S/USDSEK.pine,baseline_v6.1.5u1,37916,aafc9bc42803c982e403d447c7a180f5f3a77e34daf74b9c6d082b01fa0b4aaa,1,1,0,2,61,19
